p80,p81,p82,p83
15735.789,1803.1578,612.6316,412.6316
15711.579,1800,611.5789,412.6316
15657.895,1793.6842,609.4737,410.5263
15777.895,1807.3684,614.7368,413.6842
16376.842,1876.8422,637.8947,429.4737
17263.158,1977.8948,672.6316,452.6316
17697.895,2027.3684,689.4737,464.21054
17593.684,2015.7894,685.2632,462.10526
17354.736,1988.421,675.7895,455.78946
16894.736,1935.7894,657.8947,443.1579
16101.053,1845.2632,627.3684,422.10526
15341.053,1757.8948,597.8947,403.1579
14766.315,1691.579,574.7368,387.3684
14584.211,1671.579,568.4211,383.1579
14423.158,1652.6316,562.1053,378.94736
14525.263,1664.2106,566.3158,381.05264
14811.579,1696.8422,576.8421,388.42105
15712.632,1800,611.5789,412.6316
17249.475,1975.7894,671.5789,452.6316
18342.105,2101.0527,714.7368,481.05264
18736.842,2146.3157,729.4737,491.57895
18750.525,2148.4211,730.5263,492.6316
18645.264,2136.842,726.3158,489.4737
18643.158,2135.7896,726.3158,489.4737
18466.316,2115.7896,718.9474,484.21054
18389.475,2107.3684,716.8421,483.1579
18175.79,2082.1052,708.4211,476.8421
18076.842,2071.5789,704.2105,474.73685
18414.736,2109.4736,716.8421,483.1579
19136.842,2192.6316,745.2632,502.10526
19356.842,2217.8948,753.6842,508.42105
19231.578,2203.158,749.4737,505.26315
18768.422,2150.5264,731.5789,492.6316
18016.842,2064.2104,702.1053,472.6316
16870.525,1933.6842,656.8421,443.1579
15697.895,1798.9474,611.5789,411.57895
14891.579,1706.3158,580,390.5263
14509.474,1663.1578,565.2632,381.05264
14412.632,1651.579,561.0526,377.89474
14568.421,1669.4736,567.3684,382.10526
14901.053,1707.3684,580,391.57895
15829.474,1813.6842,616.8421,415.78946
17408.422,1994.7368,677.8947,456.8421
18605.264,2131.5789,725.2632,488.42105
19193.684,2198.9473,747.3684,504.21054
19238.947,2204.2104,749.4737,505.26315
19297.895,2211.5789,751.5789,506.3158
19177.895,2197.8948,747.3684,503.1579
19073.684,2185.2632,743.1579,501.05264
19065.264,2184.2104,743.1579,500
18883.158,2163.158,735.7895,495.78946
18892.63,2165.2632,735.7895,495.78946
19365.264,2218.9473,754.7368,508.42105
20428.422,2340,795.7895,535.7895
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20633.684,2364.2104,804.2105,541.0526
19978.947,2289.4736,777.8947,524.2105
18906.316,2166.3157,736.8421,495.78946
17718.947,2030.5264,690.5263,465.26315
17047.37,1953.6842,664.2105,447.3684
16522.105,1893.6842,643.1579,433.6842
16342.105,1872.6316,636.8421,428.42105
16253.685,1862.1052,632.6316,426.3158
16390.525,1877.8948,638.9474,430.5263
17131.578,1963.1578,667.3684,449.4737
18537.895,2124.2104,722.1053,486.3158
19508.422,2234.7368,760,511.57895
19777.895,2266.3157,770.5263,518.9474
19797.895,2268.4211,771.5789,520
19811.578,2270.5264,771.5789,520
19645.264,2250.5264,765.2632,515.7895
19498.947,2233.6843,760,511.57895
19417.895,2225.2632,756.8421,509.4737
19190.525,2198.9473,747.3684,503.1579
19272.63,2208.4211,750.5263,506.3158
19771.578,2265.2632,770.5263,518.9474
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
